match_id,home_team,away_team,home_score,away_score,home_pens,away_pens,stage,source_filename,source_path,total_goals,winner
HL001,Argentina,Switzerland,3,1,,,FIFA World Cup 2026™,001 - Highlights ｜ Argentina 3-1 Switzerland ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/001 - Highlights ｜ Argentina 3-1 Switzerland ｜ FIFA World Cup 2026™.mp4,4,home
HL002,Norway,England,1,2,,,FIFA World Cup 2026™,002 - Highlights ｜ Norway 1-2 England ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/002 - Highlights ｜ Norway 1-2 England ｜ FIFA World Cup 2026™.mp4,3,away
HL003,Spain,Belgium,2,1,,,FIFA World Cup 2026™,003 - Highlights ｜ Spain 2-1 Belgium ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/003 - Highlights ｜ Spain 2-1 Belgium ｜ FIFA World Cup 2026™.mp4,3,home
HL004,France,Morocco,2,0,,,FIFA World Cup 2026™,004 - Highlights ｜ France 2-0 Morocco ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/004 - Highlights ｜ France 2-0 Morocco ｜ FIFA World Cup 2026™.mp4,2,home
HL005,Switzerland,Colombia,0,0,4,3,,005 - Highlights ｜ Switzerland (4)0-0(3) Colombia.mp4,/media/scott/SSD_4TB/fileserver/highlights/005 - Highlights ｜ Switzerland (4)0-0(3) Colombia.mp4,0,draw
HL006,Argentina,Egypt,3,2,,,FIFA World Cup 2026™,006 - Highlights ｜ Argentina 3-2 Egypt ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/006 - Highlights ｜ Argentina 3-2 Egypt ｜ FIFA World Cup 2026™.mp4,5,home
HL007,USA,Belgium,1,4,,,FIFA World Cup 2026™,007 - Highlights ｜ USA 1-4 Belgium ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/007 - Highlights ｜ USA 1-4 Belgium ｜ FIFA World Cup 2026™.mp4,5,away
HL008,Portugal,Spain,0,1,,,FIFA World Cup 2026™,008 - Highlights ｜ Portugal 0-1 Spain ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/008 - Highlights ｜ Portugal 0-1 Spain ｜ FIFA World Cup 2026™.mp4,1,away
HL009,Mexico,England,2,3,,,FIFA World Cup 2026™,009 - Highlights ｜ Mexico 2-3 England ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/009 - Highlights ｜ Mexico 2-3 England ｜ FIFA World Cup 2026™.mp4,5,away
HL010,Brazil,Norway,1,2,,,FIFA World Cup 2026™,010 - Highlights ｜ Brazil 1-2 Norway ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/010 - Highlights ｜ Brazil 1-2 Norway ｜ FIFA World Cup 2026™.mp4,3,away
HL011,Paraguay,France,0,1,,,FIFA World Cup 2026™,011 - Highlights ｜ Paraguay 0-1 France ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/011 - Highlights ｜ Paraguay 0-1 France ｜ FIFA World Cup 2026™.mp4,1,away
HL012,Canada,Morocco,0,3,,,FIFA World Cup 2026™,012 - Highlights ｜ Canada 0-3 Morocco ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/012 - Highlights ｜ Canada 0-3 Morocco ｜ FIFA World Cup 2026™.mp4,3,away
HL013,Colombia,Ghana,1,0,,,FIFA World Cup 2026™,013 - Highlights ｜ Colombia 1-0 Ghana ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/013 - Highlights ｜ Colombia 1-0 Ghana ｜ FIFA World Cup 2026™.mp4,1,home
HL014,Argentina,Cabo Verde,3,2,,,FIFA World Cup 2026™,014 - Highlights ｜ Argentina 3-2 Cabo Verde ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/014 - Highlights ｜ Argentina 3-2 Cabo Verde ｜ FIFA World Cup 2026™.mp4,5,home
HL015,Australia,Egypt,1,1,2,4,FIFA World Cup 2026™,015 - Highlights ｜ Australia (2)1-1(4) Egypt ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/015 - Highlights ｜ Australia (2)1-1(4) Egypt ｜ FIFA World Cup 2026™.mp4,2,draw
HL016,Switzerland,Algeria,2,0,,,FIFA World Cup 2026™,016 - Highlights ｜ Switzerland 2-0 Algeria ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/016 - Highlights ｜ Switzerland 2-0 Algeria ｜ FIFA World Cup 2026™.mp4,2,home
HL017,Portugal,Croatia,2,1,,,FIFA World Cup 2026™,017 - Highlights ｜ Portugal 2-1 Croatia ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/017 - Highlights ｜ Portugal 2-1 Croatia ｜ FIFA World Cup 2026™.mp4,3,home
HL018,Spain,Austria,3,0,,,FIFA World Cup 2026™,018 - Highlights ｜ Spain 3-0 Austria ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/018 - Highlights ｜ Spain 3-0 Austria ｜ FIFA World Cup 2026™.mp4,3,home
HL019,USA,Bosnia And Herzegovina,2,0,,,FIFA World Cup 2026™,019 - Highlights ｜ USA 2-0 Bosnia And Herzegovina ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/019 - Highlights ｜ USA 2-0 Bosnia And Herzegovina ｜ FIFA World Cup 2026™.mp4,2,home
HL020,Belgium,Senegal,3,2,,,FIFA World Cup 2026™,020 - Highlights ｜ Belgium 3-2 Senegal ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/020 - Highlights ｜ Belgium 3-2 Senegal ｜ FIFA World Cup 2026™.mp4,5,home
HL021,Mexico,Ecuador,2,0,,,FIFA World Cup 2026™,021 - Highlights ｜ Mexico 2-0 Ecuador ｜FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/021 - Highlights ｜ Mexico 2-0 Ecuador ｜FIFA World Cup 2026™.mp4,2,home
HL022,France,Sweden,3,0,,,FIFA World Cup 2026™,022 - Highlights ｜ France 3-0 Sweden ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/022 - Highlights ｜ France 3-0 Sweden ｜ FIFA World Cup 2026™.mp4,3,home
HL023,Cote d'Ivoire,Norway,1,2,,,FIFA World Cup 2026™,023 - Highlights ｜ Cote d'Ivoire 1-2 Norway ｜ FIFA World Cup 2026™.mp4,/media/scott/SSD_4TB/fileserver/highlights/023 - Highlights ｜ Cote d'Ivoire 1-2 Norway ｜ FIFA World Cup 2026™.mp4,3,away
