n_frames,n_player,n_ball,avg_det_per_frame,ball_center_x,ball_center_y,match_id,home_score,away_score,winner
150,1514,45,10.446666666666667,0.36375909531558004,0.5256726589124389,HL001,3,1,0
80,849,13,10.95,0.53285692437337,0.6045939997050837,HL002,1,2,2
81,917,12,11.62962962962963,0.6028613050778707,0.6253861026999391,HL003,2,1,0
79,755,15,9.835443037974683,0.4745110689269172,0.6595545634516963,HL004,2,0,0
81,666,18,8.654320987654321,0.499348509311676,0.5556756400277095,HL005,0,0,1
80,718,7,9.1625,0.5150750523521787,0.6423763113677817,HL006,3,2,0
80,913,10,11.55,0.6766769854227701,0.6905562026412398,HL007,1,4,2
81,867,23,11.012345679012345,0.44224330303461656,0.6112183735182511,HL008,0,1,2
81,937,10,11.728395061728396,0.49948248465855916,0.4680667958436189,HL009,2,3,2
79,691,11,8.962025316455696,0.49289032473708644,0.5328430220735595,HL010,1,2,2
79,880,15,11.39240506329114,0.5498997063106962,0.6390163836067105,HL011,0,1,2
79,874,13,11.354430379746836,0.4388675830303094,0.7275573317481582,HL012,0,3,2
80,975,9,12.425,0.49250622678686073,0.48304623733332125,HL013,1,0,0
80,842,20,10.9125,0.4634962264696757,0.5823363212302879,HL014,3,2,0
81,623,15,7.9753086419753085,0.5538997893863253,0.5495380881980613,HL015,1,1,1
80,890,16,11.45,0.44049219725032646,0.6289692448245154,HL016,2,0,0
80,852,6,10.7875,0.5175311777326795,0.5596656563841267,HL017,2,1,0
79,1051,17,13.658227848101266,0.536513427659577,0.6646202386594287,HL018,3,0,0
77,924,8,12.233766233766234,0.508297073841095,0.5557993888854981,HL019,2,0,0
79,796,16,10.468354430379748,0.5588791660964489,0.5637964381111993,HL020,3,2,0
79,697,24,9.177215189873417,0.5597600873973634,0.5474489900800917,HL021,2,0,0
78,785,30,10.576923076923077,0.5106649610731336,0.6330853326232345,HL022,3,0,0
77,848,12,11.233766233766234,0.571381848388248,0.6590271019641264,HL023,1,2,2
81,545,15,7.012345679012346,0.5355927011701795,0.6013065488838856,HL024,1,1,1
80,851,8,10.825,0.4593685825665792,0.7013435787624783,HL025,1,1,1
80,886,13,11.425,0.5428449893609071,0.5674227402081177,HL026,2,1,0
80,926,26,12.125,0.5813617321925285,0.6678210788302952,HL027,0,1,2
80,891,10,11.2875,0.3980589588483175,0.5231821471673471,HL028,3,3,1
80,863,16,11.05,0.5746439233422279,0.5585016780429416,HL029,1,3,2
80,909,19,11.6375,0.5210358259970682,0.5925665597004733,HL030,0,0,1
80,808,14,10.3125,0.48313461343447367,0.6104258744174211,HL031,3,1,0
80,1000,23,12.8375,0.553167524545089,0.6456850789019452,HL032,2,1,0
80,916,20,11.775,0.48264146829644844,0.5853502365394875,HL033,0,2,2
80,895,14,11.4625,0.46183412358874365,0.6204702932367879,HL034,1,1,1
79,826,23,10.746835443037975,0.5150433920431828,0.5853446032881929,HL035,1,5,2
77,931,14,12.337662337662337,0.42242134923026675,0.6201516628265381,HL036,0,0,1
79,1026,18,13.240506329113924,0.5196634968121846,0.5797402907791452,HL037,0,1,2
79,951,6,12.164556962025317,0.6157052861319647,0.7043152656084225,HL038,5,0,0
80,937,13,11.9125,0.615128118563921,0.6268590943426149,HL039,1,4,2
80,899,14,11.525,0.44154548474720545,0.5742592362499742,HL040,3,2,0
80,1029,21,13.2,0.49837753195611256,0.5516305128523071,HL041,0,0,1
80,986,32,12.775,0.46722484690447647,0.6459927566073559,HL042,1,1,1
80,858,14,10.925,0.6093978005150954,0.5364511822897291,HL043,1,3,2
80,921,18,11.775,0.4942336531700911,0.5413832213162394,HL044,0,2,2
80,845,15,10.85,0.41600767612457273,0.5325322728098175,HL045,2,1,0
80,844,13,10.7625,0.5091515681682489,0.47510905197882586,HL046,1,0,0
80,913,21,11.7125,0.44284115874814606,0.6075951769658918,HL047,0,3,2
79,841,20,10.924050632911392,0.4848560647169749,0.5769972758822971,HL048,4,2,0
80,765,17,9.8875,0.5461786036397897,0.6364695854436339,HL049,0,3,2
80,911,18,11.6875,0.5776068930272703,0.6583355872228803,HL050,3,1,0
80,869,23,11.2125,0.5453875130501346,0.5540592193603515,HL051,2,1,0
79,902,15,11.746835443037975,0.4376954600711664,0.6041964038801781,HL052,1,0,0
80,978,19,12.525,0.5192015662527921,0.6777848762378359,HL053,0,1,2
80,1107,11,14.0,0.5763009945551555,0.7362143083052202,HL054,0,0,1
78,804,10,10.487179487179487,0.36481544295946755,0.6165489394576461,HL055,5,0,0
80,1033,11,13.1,0.5469020922978719,0.6571994075068721,HL056,1,2,2
79,825,10,10.60759493670886,0.4916435734430949,0.6195368321736654,HL057,3,2,0
80,994,25,12.7625,0.5014265888979037,0.6279890034993489,HL058,3,0,0
80,719,14,9.2375,0.5060292607262021,0.6638513565063476,HL059,2,0,0
80,854,9,10.8,0.4982365296946632,0.6890567842334386,HL060,1,3,2
80,898,14,11.425,0.4977219519161043,0.6003694039803964,HL061,2,2,1
80,931,26,12.075,0.47632212507037014,0.6605291170951648,HL062,0,0,1
80,833,20,10.675,0.5373058018833399,0.6529042971575701,HL063,4,0,0
80,892,10,11.3125,0.40049490114053093,0.7107471211751303,HL064,0,0,1
79,883,4,11.278481012658228,0.53038037220637,0.701722710220902,HL065,2,1,0
79,773,26,10.139240506329115,0.5607236590140905,0.7197541174385962,HL066,5,1,0
80,1054,17,13.5375,0.48516727569056495,0.5346007216210459,HL067,0,1,2
79,773,19,10.08860759493671,0.5686687741363258,0.6223565241049605,HL068,3,0,0
79,781,17,10.126582278481013,0.54213908384828,0.6491485568692741,HL069,0,1,2
80,943,9,11.975,0.6213463059178106,0.6743693379217706,HL070,2,0,0
78,864,16,11.307692307692308,0.4863905429840088,0.6069581482145522,HL071,1,0,0
80,906,15,11.575,0.5084202451093329,0.565611398955922,HL072,6,0,0
80,936,10,11.8875,0.5513689374923706,0.5834335998252586,HL073,4,1,0
79,797,17,10.329113924050633,0.46026675841387577,0.5761125739103828,HL074,1,1,1
80,841,20,10.8125,0.5567922350267569,0.5731512018486306,HL075,1,3,2
80,891,17,11.425,0.5343187513377736,0.6518988457640271,HL076,1,0,0
79,806,17,10.544303797468354,0.5206474526840098,0.6269408814008459,HL077,4,2,0
79,868,11,11.139240506329115,0.4652310703739975,0.6660622246739037,HL078,1,1,1
80,918,20,11.775,0.5172724592685699,0.579714486863878,HL079,3,1,0
81,809,13,10.197530864197532,0.545970927293484,0.5173615194793441,HL080,3,0,0
79,818,12,10.544303797468354,0.4963932732741038,0.6480062714329472,HL081,1,4,2
80,607,16,7.9,0.5318581148982048,0.5424581978056165,HL082,3,1,0
80,865,16,11.175,0.4161940208946665,0.603067406018575,HL083,2,2,1
79,922,14,11.886075949367088,0.48879863250823247,0.6035886532415158,HL084,1,1,1
80,967,14,12.275,0.5152753966195243,0.6258995540558345,HL085,1,1,1
79,913,16,11.784810126582279,0.41578542118271195,0.6205211974956372,HL086,0,0,1
80,804,14,10.425,0.5725273887316386,0.48186937639952965,HL087,5,1,0
80,964,23,12.425,0.4537034792744595,0.4922912354246622,HL088,1,0,0
79,924,22,12.050632911392405,0.5585958285765215,0.5914220052134709,HL089,2,2,1
76,872,12,11.657894736842104,0.4976652476522657,0.558006140626507,HL090,7,1,0
79,904,14,11.645569620253164,0.4608844297272819,0.6009188747910595,HL091,2,0,0
80,975,7,12.35,0.5722520555768694,0.607364325548606,HL092,0,1,2
80,781,15,10.0875,0.48633688608805337,0.6759487246289665,HL093,1,1,1
79,1009,15,13.08860759493671,0.48570470942391286,0.5585422826696326,HL094,1,1,1
80,777,14,9.925,0.5546018049830482,0.6569423483793067,HL095,4,1,0
83,976,5,11.819277108433734,0.44291796525319416,0.5613447683828848,HL096,1,1,1
81,947,6,11.839506172839506,0.5602249344189961,0.5454692628648546,HL097,2,1,0
82,663,21,8.402439024390244,0.526676102857741,0.6963853092630915,HL098,2,0,0
